year,month,month_name,district,division,water_area_km2,total_area_km2,water_fraction,water_area_calibrated_km2,season
2015,5,May,Pabna,Rajshahi,148.9,2634.14,0.056528,73.7,Pre-Monsoon (Mar-May)
2015,5,May,Panchagarh,Rangpur,317.01,1548.93,0.204663,156.9,Pre-Monsoon (Mar-May)
2015,5,May,Patuakhali,Barisal,234.56,2730.09,0.085916,116.1,Pre-Monsoon (Mar-May)
2015,5,May,Pirojpur,Barisal,102.53,1365.69,0.075074,50.7,Pre-Monsoon (Mar-May)
2015,5,May,Rajbari,Dhaka,126.66,1249.73,0.101347,62.7,Pre-Monsoon (Mar-May)
2015,5,May,Rajshahi,Rajshahi,139.18,2664.72,0.05223,68.9,Pre-Monsoon (Mar-May)
2015,5,May,Rangamati,Chittagong,288.28,6226.79,0.046296,142.7,Pre-Monsoon (Mar-May)
2015,5,May,Rangpur,Rangpur,513.98,2572.65,0.199788,254.4,Pre-Monsoon (Mar-May)
2015,5,May,Satkhira,Khulna,916.73,3543.74,0.258691,453.7,Pre-Monsoon (Mar-May)
2015,5,May,Shariatpur,Dhaka,179.89,1362.06,0.132072,89.0,Pre-Monsoon (Mar-May)
2015,5,May,Sherpur,Dhaka,549.03,1455.19,0.37729,271.7,Pre-Monsoon (Mar-May)
2015,5,May,Sirajganj,Rajshahi,278.57,2755.65,0.101092,137.9,Pre-Monsoon (Mar-May)
2015,5,May,Sunamganj,Sylhet,1317.73,4043.04,0.325925,652.2,Pre-Monsoon (Mar-May)
2015,5,May,Sylhet,Sylhet,522.46,3847.75,0.135782,258.6,Pre-Monsoon (Mar-May)
2015,5,May,Tangail,Dhaka,484.53,3707.07,0.130703,239.8,Pre-Monsoon (Mar-May)
2015,5,May,Thakurgaon,Rangpur,391.94,2008.93,0.195099,194.0,Pre-Monsoon (Mar-May)
2015,6,June,Bagerhat,Khulna,1253.05,3965.62,0.315977,620.2,Monsoon (Jun-Sep)
2015,6,June,Bandarban,Chittagong,2206.91,5000.66,0.441324,1092.3,Monsoon (Jun-Sep)
2015,6,June,Barguna,Barisal,568.25,1547.28,0.367257,281.3,Monsoon (Jun-Sep)
2015,6,June,Barisal,Barisal,696.57,2767.25,0.251719,344.8,Monsoon (Jun-Sep)
2015,6,June,Bhola,Barisal,830.3,2471.69,0.335923,411.0,Monsoon (Jun-Sep)
2015,6,June,Bogra,Rajshahi,188.9,3233.63,0.058416,93.5,Monsoon (Jun-Sep)
2015,6,June,Brahamanbaria,Chittagong,731.46,2104.07,0.347642,362.0,Monsoon (Jun-Sep)
2015,6,June,Chandpur,Chittagong,348.38,1864.17,0.186885,172.4,Monsoon (Jun-Sep)
2015,6,June,Chittagong,Chittagong,1545.88,4736.75,0.326359,765.1,Monsoon (Jun-Sep)
2015,6,June,Chuadanga,Khulna,437.88,1233.0,0.355133,216.7,Monsoon (Jun-Sep)
2015,6,June,Comilla,Chittagong,814.33,3351.85,0.242951,403.0,Monsoon (Jun-Sep)
2015,6,June,Cox's Bazar,Chittagong,337.02,2206.6,0.15273,166.8,Monsoon (Jun-Sep)
2015,6,June,Dhaka,Dhaka,547.08,1611.18,0.339556,270.8,Monsoon (Jun-Sep)
2015,6,June,Dinajpur,Rangpur,986.73,3829.09,0.257694,488.4,Monsoon (Jun-Sep)
2015,6,June,Faridpur,Dhaka,148.11,2227.54,0.066491,73.3,Monsoon (Jun-Sep)
2015,6,June,Feni,Chittagong,318.99,960.78,0.332015,157.9,Monsoon (Jun-Sep)
2015,6,June,Gaibandha,Rangpur,330.75,2410.25,0.137229,163.7,Monsoon (Jun-Sep)
2015,6,June,Gazipur,Dhaka,350.41,1940.74,0.180556,173.4,Monsoon (Jun-Sep)
2015,6,June,Gopalganj,Dhaka,522.48,1602.77,0.325986,258.6,Monsoon (Jun-Sep)
2015,6,June,Habiganj,Sylhet,889.85,2857.81,0.311374,440.4,Monsoon (Jun-Sep)
2015,6,June,Jamalpur,Dhaka,221.41,2272.36,0.097435,109.6,Monsoon (Jun-Sep)
2015,6,June,Jessore,Khulna,278.81,2784.67,0.100123,138.0,Monsoon (Jun-Sep)
2015,6,June,Jhalokati,Barisal,246.46,807.93,0.305057,122.0,Monsoon (Jun-Sep)
2015,6,June,Jhenaidah,Khulna,558.76,2143.29,0.2607,276.6,Monsoon (Jun-Sep)
2015,6,June,Joypurhat,Rajshahi,292.41,1081.54,0.270363,144.7,Monsoon (Jun-Sep)
2015,6,June,Khagrachhari,Chittagong,1158.9,3108.48,0.372818,573.6,Monsoon (Jun-Sep)
2015,6,June,Khulna,Khulna,745.49,3868.06,0.19273,369.0,Monsoon (Jun-Sep)
2015,6,June,Kishoreganj,Dhaka,1495.53,2821.62,0.530026,740.2,Monsoon (Jun-Sep)
2015,6,June,Kurigram,Rangpur,525.51,2481.86,0.211741,260.1,Monsoon (Jun-Sep)
2015,6,June,Kushtia,Khulna,114.94,1830.28,0.062798,56.9,Monsoon (Jun-Sep)
2015,6,June,Lakshmipur,Chittagong,329.02,1573.07,0.209156,162.8,Monsoon (Jun-Sep)
2015,6,June,Lalmonirhat,Rangpur,78.39,1381.75,0.056734,38.8,Monsoon (Jun-Sep)
2015,6,June,Madaripur,Dhaka,129.95,1257.23,0.103365,64.3,Monsoon (Jun-Sep)
2015,6,June,Magura,Khulna,35.99,1143.98,0.03146,17.8,Monsoon (Jun-Sep)
