Month_Num,Month_Name,Area_Name,GMM_Threshold_dB
6,June,Shariatpur,-12.8349
6,June,Sherpur,-8.8331
6,June,Sirajganj,-14.1228
6,June,Sunamganj,-14.4648
6,June,Sylhet,-13.1516
6,June,Tangail,-11.9682
6,June,Thakurgaon,-7.7107
6,June,national_mean,-10.9645
7,July,Bagerhat,-8.7853
7,July,Bandarban,-6.1373
7,July,Barguna,-13.3607
7,July,Barisal,-12.973
7,July,Bhola,-15.1305
7,July,Bogra,-13.2811
7,July,Brahamanbaria,-13.6967
7,July,Chandpur,-12.7344
7,July,Chittagong,-7.9575
7,July,Chuadanga,-8.1443
7,July,Comilla,-9.666
7,July,Cox's Bazar,-11.2734
7,July,Dhaka,-12.7448
7,July,Dinajpur,-9.8549
7,July,Faridpur,-12.1796
7,July,Feni,-8.5558
7,July,Gaibandha,-15.4547
7,July,Gazipur,-11.2642
7,July,Gopalganj,-9.6724
7,July,Habiganj,-12.068
7,July,Jamalpur,-14.3863
7,July,Jessore,-11.0025
7,July,Jhalokati,-10.4286
7,July,Jhenaidah,-9.6086
7,July,Joypurhat,-10.6813
7,July,Khagrachhari,-6.2929
7,July,Khulna,-9.1596
7,July,Kishoreganj,-16.0032
7,July,Kurigram,-15.5577
7,July,Kushtia,-13.0299
7,July,Lakshmipur,-14.5049
7,July,Lalmonirhat,-10.2506
7,July,Madaripur,-11.83
7,July,Magura,-9.7688
7,July,Manikganj,-13.7658
7,July,Maulvibazar,-11.4551
7,July,Meherpur,-7.7281
7,July,Munshiganj,-13.0077
7,July,Mymensingh,-9.1902
7,July,Naogaon,-11.545
7,July,Narail,-10.699
7,July,Narayanganj,-14.4584
7,July,Narsingdi,-13.1455
7,July,Natore,-11.7804
7,July,Nawabganj,-12.9092
7,July,Netrakona,-14.3984
7,July,Nilphamari,-9.2791
7,July,Noakhali,-12.2606
7,July,Pabna,-12.8782
7,July,Panchagarh,-9.307
7,July,Patuakhali,-12.7555
7,July,Pirojpur,-10.5917
7,July,Rajbari,-12.7464
7,July,Rajshahi,-12.1912
7,July,Rangamati,-12.2522
7,July,Rangpur,-8.1421
7,July,Satkhira,-10.0915
7,July,Shariatpur,-12.3521
7,July,Sherpur,-9.5524
7,July,Sirajganj,-15.2715
7,July,Sunamganj,-15.9576
7,July,Sylhet,-13.5159
7,July,Tangail,-12.5287
7,July,Thakurgaon,-9.9402
7,July,national_mean,-11.6115
8,August,Bagerhat,-8.8203
8,August,Bandarban,-6.2276
8,August,Barguna,-12.7194
8,August,Barisal,-13.014
8,August,Bhola,-16.0612
8,August,Bogra,-12.5968
8,August,Brahamanbaria,-14.6613
8,August,Chandpur,-12.6439
8,August,Chittagong,-8.1669
8,August,Chuadanga,-8.3912
8,August,Comilla,-9.8548
8,August,Cox's Bazar,-11.2903
8,August,Dhaka,-13.3668
8,August,Dinajpur,-9.3346
8,August,Faridpur,-12.4966
8,August,Feni,-9.366
8,August,Gaibandha,-15.6724
8,August,Gazipur,-10.2356
8,August,Gopalganj,-10.3028
8,August,Habiganj,-13.0506
8,August,Jamalpur,-14.4312
8,August,Jessore,-11.5984
8,August,Jhalokati,-10.349
8,August,Jhenaidah,-9.262
8,August,Joypurhat,-8.5628
8,August,Khagrachhari,-6.5328
8,August,Khulna,-8.6761
8,August,Kishoreganj,-16.6534
8,August,Kurigram,-15.2268
8,August,Kushtia,-14.0039
8,August,Lakshmipur,-13.8433
8,August,Lalmonirhat,-9.8139
8,August,Madaripur,-12.4106
8,August,Magura,-11.6576
